subjid	cond	time	pair	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22
1	sensor	1	1	0.246625	0.13385	0.098825	0.08745	0.062825	0.058425	0.04625	0.029975	0.021675	0.019725	0.0194	0.0238	0.016275	0.01385	0.016775	0.017425	0.0158	0.01595	0.022	0.0153	0.017925
1	sensor	2	2	0.1953	0.0742	0.0866	0.0977	0.0664	0.0612	0.0241	0.0514	0.0384	0.0293	0.0306	0.0339	0.0423	0.0273	0.0228	0.0234	0.0195	0.0163	0.0221	0.0202	0.0169
1	sensor	3	3	0.200466667	0.151666667	0.069666667	0.041666667	0.041666667	0.054266667	0.0525	0.0382	0.029966667	0.036233333	0.029066667	0.024066667	0.0306	0.0295	0.037966667	0.026033333	0.024733333	0.017566667	0.023666667	0.0193	0.021266667
2	sensor	1	1	0.2447	0.177525	0.101225	0.060525	0.056625	0.0472	0.032225	0.02475	0.024075	0.025375	0.02295	0.0223	0.03075	0.024225	0.024075	0.01725	0.013975	0.01335	0.0187	0.011075	0.007175
2	sensor	2	2	0.169333333	0.102233333	0.0582	0.0851	0.075333333	0.075533333	0.0482	0.037333333	0.0495	0.038	0.0406	0.028	0.0217	0.0191	0.0152	0.0254	0.026033333	0.0226	0.018	0.0193	0.0252
2	sensor	3	3	0.2488	0.199966667	0.0884	0.0647	0.042133333	0.036066667	0.035833333	0.029733333	0.0367	0.0317	0.0291	0.021266667	0.0178	0.0219	0.0167	0.016266667	0.012166667	0.009766667	0.013033333	0.011733333	0.0163
3	sensor	1	1	0.192233333	0.145166667	0.118233333	0.068766667	0.0508	0.048166667	0.036	0.0423	0.036666667	0.032533333	0.029933333	0.027333333	0.014333333	0.019933333	0.020166667	0.018666667	0.019733333	0.0191	0.0169	0.0217	0.021233333
3	sensor	2	2	0.21925	0.147125	0.079775	0.058125	0.05045	0.056025	0.03385	0.02815	0.033375	0.03435	0.033225	0.02685	0.022775	0.020825	0.02555	0.0179	0.02115	0.021475	0.02475	0.0181	0.02685
4	sensor	1	1	0.359533333	0.206966667	0.107833333	0.069833333	0.0558	0.033166667	0.028633333	0.030366667	0.0269	0.012366667	0.016933333	0.014766667	0.010866667	0.0039	0.005433333	0.0091	0.003033333	0.001566667	0.0011	0.000866667	0.0011
4	sensor	2	2	0.29135	0.177575	0.1167	0.0698	0.065075	0.049975	0.030575	0.017275	0.01675	0.02115	0.0192	0.018575	0.012075	0.016425	0.013675	0.0114	0.0122	0.0109	0.0122	0.00685	0.01025
