subjid	cond	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
1	sensor	0.01775	0.063675	0.0353	0.034825	0.03645	0.040875	0.035325	0.0438	0.051925	0.0513	0.046075	0.047025	0.038425	0.03845	0.0337	0.035825	0.03255	0.031075	0.025875	0.030125	0.040875	0.0368	0.028175	0.015775	0.019525	0.012225	0.007025	0.0054	0.008975	0.00915	0.008	0.0049	0.0044	0.0057	0.003425	0.0018	0.002925	0.00635	0.00455	0.0023	0.000825	0.000825
1	sensor	0.0763	0.087575	0.0837	0.059575	0.0552	0.04675	0.041325	0.0337	0.033225	0.0319	0.031425	0.033025	0.027025	0.0254	0.01595	0.019375	0.028	0.025075	0.02375	0.025925	0.027675	0.024725	0.020675	0.01625	0.014175	0.014325	0.0106	0.00895	0.0041	0.00375	0.007475	0.008625	0.006675	0.007175	0.003425	0.005525	0.0031	0.001975	0.0018	0.003775	0.00115	0
1	sensor	0.03745	0.039875	0.030775	0.032425	0.027525	0.038925	0.03775	0.038575	0.041675	0.044775	0.04345	0.0462	0.055675	0.048025	0.03825	0.034675	0.03795	0.03465	0.040525	0.03645	0.03335	0.02195	0.022925	0.01415	0.01515	0.0158	0.0127	0.008625	0.008625	0.014	0.007825	0.0083	0.009275	0.005225	0.003425	0.00555	0.005375	0.002125	0.000175	0	0	0
2	sensor	0.046375	0.089675	0.06735	0.063125	0.06495	0.046025	0.05045	0.041025	0.03645	0.03955	0.03955	0.03645	0.034175	0.02995	0.02635	0.0275	0.0337	0.034525	0.0254	0.032225	0.02765	0.021825	0.017925	0.0119	0.01075	0.00945	0.008625	0.0054	0.007175	0.003275	0.002275	0.00115	0.0018	0.00245	0.00115	0.0005	0.002125	0	0	0	0	0
2	sensor	0.0623	0.090775	0.056625	0.050275	0.040675	0.049275	0.036775	0.038375	0.0353	0.0361	0.03985	0.045575	0.0319	0.031225	0.0379	0.029125	0.03075	0.035775	0.031075	0.036625	0.0462	0.0257	0.0187	0.014475	0.015	0.00895	0.00605	0.004725	0.00375	0.001625	0.002925	0.00195	0.002125	0.00115	0.00065	0	0	0	0	0	0	0
2	sensor	0.032525	0.045925	0.0368	0.037425	0.047025	0.047675	0.038725	0.0451	0.04035	0.038875	0.043925	0.0363	0.047525	0.05125	0.04915	0.0317	0.0319	0.03025	0.03125	0.031075	0.0288	0.027375	0.016125	0.013175	0.014325	0.017125	0.016275	0.0093	0.0078	0.007325	0.007175	0.008775	0.007175	0.009275	0.00295	0.00245	0.001475	0.00245	0.002275	0.001625	0.0005	0.001625
3	sensor	0.02605	0.0443	0.061375	0.035	0.0345	0.03595	0.03905	0.037925	0.0392	0.05175	0.04265	0.03695	0.0358	0.031925	0.037125	0.032725	0.039725	0.041675	0.045725	0.036975	0.03335	0.031575	0.032725	0.016575	0.0132	0.0119	0.009125	0.009925	0.0114	0.0114	0.006175	0.0049	0.006025	0.003775	0.0041	0.002925	0.00165	0.001475	0.001475	0.000175	0	0
3	sensor	0.046375	0.040875	0.028325	0.033675	0.038225	0.0381	0.035825	0.042975	0.044625	0.059275	0.044275	0.0474	0.042175	0.031775	0.03585	0.040525	0.037775	0.03385	0.037925	0.031275	0.02945	0.021825	0.01645	0.011075	0.014	0.017275	0.0192	0.014825	0.01465	0.00765	0.005875	0.0054	0.00455	0.002625	0.007975	0.002125	0.00505	0.004225	0.000825	0.0005	0.001475	0.002125
4	sensor	0.062825	0.09195	0.085125	0.076325	0.069975	0.059875	0.0423	0.044275	0.036625	0.0304	0.024575	0.034525	0.0327	0.02635	0.02635	0.025525	0.0291	0.0228	0.016925	0.016275	0.01935	0.014975	0.01515	0.008325	0.012725	0.014675	0.008825	0.008325	0.008125	0.006875	0.007025	0.0036	0.0054	0.005725	0.003775	0.0018	0.0005	0.000325	0	0	0	0
