subjid	cond	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22
1	sensor	0.2828	0.13705	0.06735	0.07255	0.0504	0.04425	0.0384	0.02635	0.0257	0.03545	0.0254	0.0192	0.0241	0.01855	0.0267	0.0192	0.0179	0.0231	0.0163	0.01305	0.01625
1	sensor	0.2249	0.15395	0.101725	0.0934	0.07665	0.05225	0.0379	0.0197	0.0223	0.020975	0.01465	0.0187	0.02325	0.022775	0.017725	0.018225	0.01675	0.0171	0.011425	0.0181	0.0176
1	sensor	0.18295	0.1268	0.073575	0.077825	0.054025	0.0532	0.0586	0.040875	0.04005	0.028175	0.026025	0.0306	0.0283	0.0301	0.019025	0.014975	0.0197	0.0238	0.022475	0.021325	0.027675
2	sensor	0.331275	0.178975	0.095	0.083625	0.068975	0.0498	0.031575	0.02555	0.02245	0.014	0.01155	0.0153	0.00895	0.00605	0.0085	0.009925	0.0109	0.007025	0.0057	0.00635	0.00865
2	sensor	0.33295	0.1684	0.1048	0.0791	0.064275	0.057925	0.041	0.02815	0.024575	0.01905	0.0114	0.012375	0.012025	0.012525	0.005375	0.002775	0.0031	0.004875	0.0036	0.005375	0.00635
2	sensor	0.373275	0.189075	0.09325	0.050925	0.047025	0.038575	0.028625	0.013675	0.013675	0.012375	0.016925	0.015925	0.011725	0.01205	0.01105	0.011725	0.010425	0.009125	0.009775	0.01255	0.0184
3	sensor	0.228425	0.1348	0.09315	0.07245	0.05	0.051125	0.0394	0.03335	0.0472	0.029625	0.028	0.020825	0.019375	0.017575	0.01515	0.018725	0.0161	0.0132	0.023775	0.0249	0.0228
3	sensor	0.237366667	0.1189	0.057533333	0.063766667	0.059633333	0.042733333	0.040566667	0.032133333	0.032333333	0.028866667	0.027133333	0.016733333	0.027766667	0.021033333	0.0295	0.024266667	0.025166667	0.0193	0.0369	0.0297	0.028633333
4	sensor	0.3485	0.235925	0.125275	0.064425	0.0436	0.034825	0.029625	0.025225	0.0174	0.012875	0.0132	0.008475	0.0093	0.007025	0.007025	0.00425	0.00295	0.004075	0.002275	0.001325	0.0026
